color,color_name,hex,R,G,B
school_bus_yellow,School Bus Yellow,#fed400,254,212,0
cobalt_blue,Cobalt Blue,#025cbd,2,92,189
red,Red,#cb0305,203,3,5
green,Green,#017035,1,112,53
azure,Azure,#0280e2,2,128,226
dark_green,Dark Green,#044b21,4,75,33
gold,Gold,#d4a814,212,168,20
dodger_blue,Dodger Blue,#0272d4,2,114,212
royal_blue,Royal Blue,#034ba9,3,75,169
dark_green,Dark Green,#025b29,2,91,41
royal_blue,Royal Blue,#0353b3,3,83,179
deep_sky_blue,Deep Sky Blue,#038ff1,3,143,241
amber,Amber,#fec700,254,199,0
amber,Amber,#fedf00,254,223,0
dark_slate_blue,Dark Slate Blue,#0d3f8f,13,63,143
crimson,Crimson,#ac080a,172,8,10
dark_green,Dark Green,#016730,1,103,48
forest_green,Forest Green,#027739,2,119,57
forest_green,Forest Green,#185a33,24,90,51
dodger_blue,Dodger Blue,#0267c9,2,103,201
